,links,Title,Uploaded By,Length,Date Uploaded,Description,length
0,,,,,,,
1,['https://freesound.org/people/straget/sounds/527674/'],['Rainy day 2.wav'],['straget'],,"['July 12th, 2020']",['An short and intense rain shower. The microphones are located under the front door fence Equipment used Mikrophones 2 OM1(line-audio) …'],['-01:09']
2,['https://freesound.org/people/straget/sounds/529535/'],['Thunder 2'],['straget'],,"['August 1st, 2020']",[''],['-01:10']
3,['https://freesound.org/people/Astounded/sounds/483479/'],['Wind_blowing_gusting_thr...'],['Astounded'],,"['September 6th, 2019']",[''],['-01:20']
4,['https://freesound.org/people/InspectorJ/sounds/401276/'],"['Rain, Moderate, B.wav']",['InspectorJ'],,"['September 5th, 2017']",[''],['-00:40']
5,['https://freesound.org/people/straget/sounds/527664/'],['Thunder'],['straget'],,"['July 12th, 2020']",[''],['-00:33']
6,['https://freesound.org/people/InspectorJ/sounds/360328/'],"['Thunder, Very Close, Rai...']",['InspectorJ'],,"['September 19th, 2016']",[''],['-00:13']
7,['https://freesound.org/people/naturenotesuk/sounds/401060/'],['Weather - Rain'],['naturenotesuk'],,"['September 2nd, 2017']",[''],['-05:01']
8,['https://freesound.org/people/deleted_user_44129/sounds/124586/'],['Siberian Weather Front 5...'],['deleted_user_44129'],,"['July 15th, 2011']",[''],['-01:18']
9,['https://freesound.org/people/kylesonc/sounds/630479/'],['Demo Weather Report.m4a'],['kylesonc'],,"['April 25th, 2022']",[''],['-00:31']
10,['https://freesound.org/people/tim.kahn/sounds/80233/'],['tornado_warning.wav'],['tim.kahn'],,"['September 19th, 2009']",[''],['-00:01']
11,['https://freesound.org/people/kwahmah_02/sounds/264112/'],['Rainy Day'],['kwahmah_02'],,"['February 14th, 2015']",[''],['-05:47']
12,['https://freesound.org/people/simorautiainen/sounds/658040/'],['Car passing by rainy wea...'],['simorautiainen'],,"['November 7th, 2022']",[''],['-00:07']
13,['https://freesound.org/people/MrAuralization/sounds/241295/'],['Rainy weather'],['MrAuralization'],,"['June 27th, 2014']",[''],['-02:37']
14,['https://freesound.org/people/Philip_Goddard/sounds/668717/'],['July long night thunders...'],['Philip_Goddard'],,"['January 7th, 2023']",[''],['-115:25']
15,['https://freesound.org/people/JoniHeinonen/sounds/169158/'],"['WEATHER-THUNDER, LIGHTNI...']",['JoniHeinonen'],,"['November 7th, 2012']",[''],['-01:08']
16,['https://freesound.org/people/nnus/sounds/126513/'],['static_weather_report.wav'],['nnus'],,"['August 19th, 2011']",['tuning into a local (Norther California) weather station.'],['-01:06']
17,['https://freesound.org/people/blukotek/sounds/431641/'],['Storm thunder rain 0.wav'],['blukotek'],,"['June 2nd, 2018']",[''],['-00:35']
18,['https://freesound.org/people/Erbsland-Music/sounds/430824/'],['Rain in Night from Windo...'],['Erbsland-Music'],,"['May 23rd, 2018']",[''],['-10:00']
19,['https://freesound.org/people/birdOfTheNorth/sounds/652504/'],['suburban rain with ice p...'],['birdOfTheNorth'],,"['October 5th, 2022']",[''],['-01:00']
20,['https://freesound.org/people/Manim8/sounds/474387/'],['Rain and Thunder Crack a...'],['Manim8'],,"['June 10th, 2019']",[''],['-01:14']
21,['https://freesound.org/people/Andy_Gardner/sounds/257847/'],['Shelter at Whitelee Wind...'],['Andy_Gardner'],,"['December 14th, 2014']",[''],['-02:01']
22,['https://freesound.org/people/thornhilltro/sounds/242923/'],['Thunder&Rain3.wav'],['thornhilltro'],,"['July 19th, 2014']",[''],['-01:01']
23,['https://freesound.org/people/speedyrce/sounds/379842/'],['Distant_Thunder_Storm_2.wav'],['speedyrce'],,"['February 4th, 2017']",[''],['-01:45']
24,['https://freesound.org/people/freemaster2/sounds/316611/'],['Thunderstorm loud'],['freemaster2'],,"['July 16th, 2015']",[''],['-01:20']
25,['https://freesound.org/people/TeamEnFil/sounds/693951/'],['Rain on canopy 2023.07.0...'],['TeamEnFil'],,"['July 8th, 2023']",[''],['-08:53']
26,['https://freesound.org/people/theplax/sounds/553991/'],['Rain On Metal Roof.wav'],['theplax'],,"['January 9th, 2021']",[''],['-01:09']
27,['https://freesound.org/people/DSISStudios/sounds/257673/'],['Rain and Thunder'],['DSISStudios'],,"['December 12th, 2014']",[''],['-17:59']
28,['https://freesound.org/people/eaglechopper/sounds/238017/'],['rain 3'],['eaglechopper'],,"['May 17th, 2014']",[''],['-00:12']
29,['https://freesound.org/people/Buldfot/sounds/243624/'],['Thunderstorm / Rain on B...'],['Buldfot'],,"['July 27th, 2014']",[''],['-13:37']
30,['https://freesound.org/people/mcimo88/sounds/280218/'],['Rain - 7-6-2015'],['mcimo88'],,"['July 6th, 2015']",[''],['-02:17']
31,['https://freesound.org/people/DWOBoyle/sounds/136690/'],['Light Rain on a Wooden D...'],['DWOBoyle'],,"['December 7th, 2011']","[""This was recorded with an Audio-Technica AT8035 by aiming it out a screen door at the backyard's wood deck. There …""]",['-00:08']
32,['https://freesound.org/people/omnisounddesign/sounds/333963/'],['Hallway Wind Noise_Sennh...'],['omnisounddesign'],,"['January 25th, 2016']",[''],['-03:21']
33,['https://freesound.org/people/VKProduktion/sounds/344976/'],['Rain 01.wav'],['VKProduktion'],,"['May 3rd, 2016']",[''],['-00:54']
34,['https://freesound.org/people/TheMinkman/sounds/437036/'],['Rain - Running water.MP3'],['TheMinkman'],,"['August 16th, 2018']",[''],['-00:45']
35,['https://freesound.org/people/acclivity/sounds/26808/'],['WindAndRain.mp3'],['acclivity'],,"['December 3rd, 2006']",[''],['-03:18']
36,['https://freesound.org/people/iainmccurdy/sounds/676292/'],['Summer Rain Shower in th...'],['iainmccurdy'],,"['February 18th, 2023']",[''],['-05:36']
37,['https://freesound.org/people/NachtmahrTV/sounds/571799/'],['Medium Rain'],['NachtmahrTV'],,"['May 18th, 2021']",[''],['-09:18']
38,['https://freesound.org/people/Elanor1995/sounds/688860/'],['Rain outside the window.wav'],['Elanor1995'],,"['May 28th, 2023']",[''],['-00:59']
39,['https://freesound.org/people/digimistic/sounds/684023/'],['Rain on Metal Awning.wav'],['digimistic'],,"['April 16th, 2023']",[''],['-01:01']
40,['https://freesound.org/people/a_l_a_r_i/sounds/398627/'],['rain.flac'],['a_l_a_r_i'],,"['July 31st, 2017']",[''],['-02:23']
41,['https://freesound.org/people/Martina_Leitschuh/sounds/582951/'],['thunder_noise_002.wav'],['Martina_Leitschuh'],,"['August 9th, 2021']",[''],['-00:18']
42,['https://freesound.org/people/cinningbao/sounds/653415/'],['0307_051735 rain close d...'],['cinningbao'],,"['October 13th, 2022']",[''],['-06:04']
43,['https://freesound.org/people/yaanick/sounds/570305/'],['rain_thunder.wav'],['yaanick'],,"['May 4th, 2021']",[''],['-02:45']
44,['https://freesound.org/people/gsparrysound/sounds/582533/'],['Rain by open window.WAV'],['gsparrysound'],,"['August 7th, 2021']",[''],['-01:43']
45,['https://freesound.org/people/AlienXXX/sounds/347560/'],['Thunderstorm_2_7-Jun-201...'],['AlienXXX'],,"['June 11th, 2016']",[''],['-11:28']
46,['https://freesound.org/people/tuesdayblack/sounds/532267/'],['Rain on Roof'],['tuesdayblack'],,"['August 25th, 2020']",['Rain on a sloped attic roof. Recorded on a rode. Edited to make longer and remove internal noises'],['-19:11']
47,['https://freesound.org/people/D001447733/sounds/464624/'],['Wind_Strong.wav'],['D001447733'],,"['March 25th, 2019']",[''],['-00:04']
48,['https://freesound.org/people/nicoproson/sounds/648529/'],['RAIN on glass window.wav'],['nicoproson'],,"['August 30th, 2022']",[''],['-02:53']
49,['https://freesound.org/people/digifishmusic/sounds/66988/'],['Distant thunder 5 am.wav'],['digifishmusic'],,"['February 8th, 2009']",[''],['-02:54']
50,['https://freesound.org/people/squashy555/sounds/240079/'],['rain.wav'],['squashy555'],,"['June 4th, 2014']",[''],['-00:13']
51,['https://freesound.org/people/OroborosNZ/sounds/141251/'],['Thunder storm'],['OroborosNZ'],,"['January 10th, 2012']",[''],['-09:14']
52,['https://freesound.org/people/2887679652/sounds/135594/'],['Lightning_strike_plus_Th...'],['2887679652'],,"['November 22nd, 2011']",[''],['-00:15']
53,['https://freesound.org/people/unfa/sounds/260173/'],['Wind (noisy)'],['unfa'],,"['January 3rd, 2015']",[''],['-08:43']
54,['https://freesound.org/people/bone666138/sounds/205887/'],['Weather Advisory'],['bone666138'],,"['November 8th, 2013']",[''],['-00:19']
55,['https://freesound.org/people/unfa/sounds/216607/'],['Windy Weather'],['unfa'],,"['January 30th, 2014']",[''],['-32:15']
56,['https://freesound.org/people/Beetlemuse/sounds/620358/'],"[""Dave's Weather Forecast""]",['Beetlemuse'],,"['February 16th, 2022']",[''],['-00:40']
57,['https://freesound.org/people/BoulderDamStudios/sounds/181327/'],['Special Weather Statement'],['BoulderDamStudios'],,"['March 20th, 2013']",[''],['-00:11']
58,['https://freesound.org/people/eaglechopper/sounds/238019/'],['Urban street in rainy we...'],['eaglechopper'],,"['May 17th, 2014']",[''],['-14:49']
59,['https://freesound.org/people/YellowTree/sounds/693384/'],['Weather Forecast Type Beat'],['YellowTree'],,"['July 2nd, 2023']",[''],['-01:06']
60,['https://freesound.org/people/Josh74000MC/sounds/475058/'],['rain1.ogg'],['Josh74000MC'],,"['June 21st, 2019']",[''],['-00:02']
61,['https://freesound.org/people/Greg%20Baumont/sounds/324230/'],['CoPilotWeatherAnnounceme...'],['Greg Baumont'],,"['October 7th, 2015']",['Copilot announcing weather for the flight.'],['-00:23']
62,['https://freesound.org/people/SKrafft/sounds/508431/'],['Stormy Weather'],['SKrafft'],,"['March 11th, 2020']",[''],['-00:48']
63,['https://freesound.org/people/BenKoning/sounds/113664/'],['KWVI-AWOS-Weather.aif'],['BenKoning'],,"['February 6th, 2011']",[''],['-00:05']
64,['https://freesound.org/people/Julien%20Nicolas/sounds/243521/'],['Country village stormy a...'],['Julien Nicolas'],,"['July 25th, 2014']",[''],['-03:54']
65,['https://freesound.org/people/Zabuhailo/sounds/658438/'],['RoadAndStormyWeather.flac'],['Zabuhailo'],,"['November 9th, 2022']",[''],['-35:52']
66,['https://freesound.org/people/SFXAFRIK/sounds/608205/'],['RAINConc Weather Amb lig...'],['SFXAFRIK'],,"['November 11th, 2021']",[''],['-03:20']
67,['https://freesound.org/people/klankbeeld/sounds/664193/'],['stormy weather 663996.wav'],['klankbeeld'],,"['December 12th, 2022']",[''],['-02:58']
68,['https://freesound.org/people/1LOVE/sounds/674206/'],['weather_thunder_rumble_s...'],['1LOVE'],,"['February 11th, 2023']",[''],['-00:36']
69,['https://freesound.org/people/lostphosphene/sounds/258262/'],['Stormy weather.wav'],['lostphosphene'],,"['December 19th, 2014']",[''],['-00:33']
70,['https://freesound.org/people/Cinetony/sounds/620487/'],['Stormy weather and stron...'],['Cinetony'],,"['February 17th, 2022']",[''],['-04:27']
71,['https://freesound.org/people/Marissrar/sounds/366917/'],['Windy weather.wav'],['Marissrar'],,"['November 2nd, 2016']",[''],['-00:39']
72,['https://freesound.org/people/BrendanSound12/sounds/445154/'],['Deep Weather.wav'],['BrendanSound12'],,"['October 31st, 2018']",[''],['-00:40']
73,['https://freesound.org/people/180242/sounds/445212/'],['Rainy Weather (Nature)'],['180242'],,"['October 31st, 2018']",[''],['-02:58']
74,['https://freesound.org/people/FlorsTristi/sounds/593680/'],['nice weather ambient.wav'],['FlorsTristi'],,"['October 23rd, 2021']",[''],['-40:50']
75,['https://freesound.org/people/boteman/sounds/57198/'],['WXK53.WAV'],['boteman'],,"['July 14th, 2008']",[''],['-00:40']
76,['https://freesound.org/people/greenvwbeetle/sounds/240367/'],['rain + thunder 2'],['greenvwbeetle'],,"['June 10th, 2014']",['Rain and distant thunder recorded from an open window I Recorded it with an optimus tape deck and an old …'],['-01:29']
77,['https://freesound.org/people/pillonoise/sounds/329577/'],['dribbling rain (snow mel...'],['pillonoise'],,"['November 25th, 2015']",[''],['-00:54']
78,['https://freesound.org/people/blukotek/sounds/530067/'],['The rain is falling on t...'],['blukotek'],,"['August 7th, 2020']",[''],['-01:03']
79,['https://freesound.org/people/crosbychris/sounds/106096/'],"['june 28 2009 at 18.00, m...']",['crosbychris'],,"['October 6th, 2010']",[''],['-10:08']
80,['https://freesound.org/people/frodeims/sounds/616222/'],['storm_sea_close.WAV'],['frodeims'],,"['January 28th, 2022']",[''],['-02:28']
81,['https://freesound.org/people/alanholding/sounds/657505/'],['Fake Thunder'],['alanholding'],,"['November 6th, 2022']",[''],['-01:38']
82,['https://freesound.org/people/NoiseCollector/sounds/56959/'],['nothunderjustrainstart.wav'],['NoiseCollector'],,"['July 12th, 2008']",[''],['-25:10']
83,['https://freesound.org/people/klankbeeld/sounds/614719/'],['Weather station on 5450 ...'],['klankbeeld'],,"['January 13th, 2022']",[''],['-04:32']
84,['https://freesound.org/people/soundscalpel.com/sounds/110394/'],['weather_wind_strong_tree...'],['soundscalpel.com'],,"['December 12th, 2010']",[''],['-00:24']
85,['https://freesound.org/people/thatjeffcarter/sounds/137199/'],['NOAA Weather Announcemen...'],['thatjeffcarter'],,"['December 12th, 2011']",[''],['-00:43']
86,['https://freesound.org/people/newagesoup/sounds/336732/'],"['Weathering 01 - earth, w...']",['newagesoup'],,"['February 17th, 2016']",[''],['-00:18']
87,['https://freesound.org/people/s9ames/sounds/199340/'],['small crowd outside hot ...'],['s9ames'],,"['September 11th, 2013']",[''],['-00:25']
88,['https://freesound.org/people/Eelke/sounds/462831/'],['Weather rain drops subtl...'],['Eelke'],,"['March 8th, 2019']",[''],['-00:34']
89,['https://freesound.org/people/musicvision31/sounds/431786/'],['Stereo Street Soundscape...'],['musicvision31'],,"['June 4th, 2018']",[''],['-19:47']
90,['https://freesound.org/people/Trebblofang/sounds/241341/'],['11253.00 kHz USB weather...'],['Trebblofang'],,"['June 28th, 2014']",[''],['-12:16']
91,['https://freesound.org/people/mediagruppen/sounds/652634/'],['rain.wav'],['mediagruppen'],,"['October 6th, 2022']",['Rain weather'],['-02:19']
92,['https://freesound.org/people/Bryce835/sounds/518935/'],['Weather station on 3413....'],['Bryce835'],,"['May 20th, 2020']",[''],['-02:55']
93,['https://freesound.org/people/Spleencast/sounds/87422/'],['dublin-connolly-station-...'],['Spleencast'],,"['January 10th, 2010']",[''],['-00:43']
94,['https://freesound.org/people/soundscalpel.com/sounds/110610/'],['weather_rain_light_boats...'],['soundscalpel.com'],,"['December 16th, 2010']",[''],['-00:26']
95,['https://freesound.org/people/soundscalpel.com/sounds/110612/'],['weather_rain_med_drips_s...'],['soundscalpel.com'],,"['December 16th, 2010']",[''],['-00:10']
96,['https://freesound.org/people/doubleDog/sounds/570444/'],['20210505-weatherSiren.m4a'],['doubleDog'],,"['May 5th, 2021']",[''],['-02:35']
97,['https://freesound.org/people/PoundSoundUK/sounds/641056/'],['PS_Weather_Thunder_&_Rai...'],['PoundSoundUK'],,"['July 8th, 2022']",[''],['-02:47']
98,['https://freesound.org/people/Robinhood76/sounds/269019/'],['05669 approaching storm.wav'],['Robinhood76'],,"['April 4th, 2015']",[''],['-00:50']
99,['https://freesound.org/people/JDEzekude/sounds/456419/'],['Recorded_Rain_2.mp3'],['JDEzekude'],,"['January 13th, 2019']",[''],['-00:40']
100,['https://freesound.org/people/csengeri/sounds/238681/'],['25th of May 2014 rain an...'],['csengeri'],,"['May 25th, 2014']",[''],['-96:47']
101,['https://freesound.org/people/csengeri/sounds/237425/'],['11st May 2014 evening th...'],['csengeri'],,"['May 11th, 2014']",[''],['-63:13']
102,['https://freesound.org/people/fresco/sounds/35028/'],['rain (heavy) by fresco.wav'],['fresco'],,"['May 18th, 2007']",[''],['-00:44']
103,['https://freesound.org/people/craigsmith/sounds/675991/'],['S23-19 Thunder claps; va...'],['craigsmith'],,"['February 15th, 2023']",[''],['-00:21']
