'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for March 2024,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 April 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/03/2024,3.8,0.0, ,20.1,13.7,90,61,5.48,22.18
CAPE OTWAY LIGHTHOUSE,02/03/2024,4.1,0.0, ,19.4,15.3,84,48,5.85,19.41
CAPE OTWAY LIGHTHOUSE,03/03/2024,3.3,0.0, ,18.4,14.5,85,54,7.63,10.10
CAPE OTWAY LIGHTHOUSE,04/03/2024,3.5,0.0, ,17.3,12.9,83,57,5.21,18.93
CAPE OTWAY LIGHTHOUSE,05/03/2024,4.8,0.0, ,23.8,13.1,87,37,4.05,22.50
CAPE OTWAY LIGHTHOUSE,06/03/2024,4.5,0.0, ,20.0,14.1,87,30,4.51,20.97
CAPE OTWAY LIGHTHOUSE,07/03/2024,3.8,0.0, ,20.5,15.6,78,56,4.00,18.81
CAPE OTWAY LIGHTHOUSE,08/03/2024,2.9,0.0, ,26.6,14.8,95,76,4.74,14.15
CAPE OTWAY LIGHTHOUSE,09/03/2024,7.0,0.0, ,34.3,17.4,92,21,4.42,21.62
CAPE OTWAY LIGHTHOUSE,10/03/2024,5.0,0.0, ,29.7,20.2,88,45,4.56,17.85
CAPE OTWAY LIGHTHOUSE,11/03/2024,7.6,0.0, ,37.2,18.5,93,21,5.24,17.31
CAPE OTWAY LIGHTHOUSE,12/03/2024,2.4,0.0, ,19.5,17.0,93,55,3.64,7.94
CAPE OTWAY LIGHTHOUSE,13/03/2024,2.9,0.0, ,20.1,14.9,91,65,3.26,16.07
CAPE OTWAY LIGHTHOUSE,14/03/2024,2.0,0.0, ,18.2,15.3,89,70,3.58,7.56
CAPE OTWAY LIGHTHOUSE,15/03/2024,3.1,0.0, ,21.1,13.9,87,68,6.44,15.25
CAPE OTWAY LIGHTHOUSE,16/03/2024,3.9,0.0, ,22.4,17.0,83,69,7.27,20.03
CAPE OTWAY LIGHTHOUSE,17/03/2024,4.2,0.0, ,23.3,16.7,87,54,5.65,19.79
CAPE OTWAY LIGHTHOUSE,18/03/2024,4.3,0.0, ,26.4,17.2,94,57,5.92,19.01
CAPE OTWAY LIGHTHOUSE,19/03/2024,4.2,0.0, ,26.8,20.0,93,45,8.06,5.38
CAPE OTWAY LIGHTHOUSE,20/03/2024,4.0,3.0, ,16.4,11.8,77,46,9.74,16.24
CAPE OTWAY LIGHTHOUSE,21/03/2024,3.0,0.0, ,19.9,8.5,78,47,2.93,15.01
CAPE OTWAY LIGHTHOUSE,22/03/2024,2.7,0.0, ,18.8,9.3,89,54,3.33,14.01
CAPE OTWAY LIGHTHOUSE,23/03/2024,3.1,0.0, ,18.7,13.2,89,49,4.13,15.75
CAPE OTWAY LIGHTHOUSE,24/03/2024,2.4,0.2, ,16.6,14.3,90,61,8.58,5.13
CAPE OTWAY LIGHTHOUSE,25/03/2024,2.4,3.8, ,18.1,14.0,96,66,8.88,9.68
CAPE OTWAY LIGHTHOUSE,26/03/2024,2.9,0.0, ,18.4,15.1,89,65,6.98,14.76
CAPE OTWAY LIGHTHOUSE,27/03/2024,2.6,0.6, ,18.7,14.4,91,66,4.21,14.97
CAPE OTWAY LIGHTHOUSE,28/03/2024,2.4,0.8, ,20.2,14.2,86,58,2.83,10.14
CAPE OTWAY LIGHTHOUSE,29/03/2024,2.4,0.0, ,19.5,13.6,91,70,2.70,15.64
CAPE OTWAY LIGHTHOUSE,30/03/2024,2.7,0.0, ,20.6,11.0,93,64,3.29,17.12
CAPE OTWAY LIGHTHOUSE,31/03/2024,2.8,0.0, ,19.3,14.7,89,69,5.35,16.91
Totals:,,110.7,8.4, ,,,,,, 
