species_name,speed_kmh,location_lat,location_lon,audio_filename
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_11.250-13.250.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_11.750-13.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_12.800-14.800.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_13.250-15.250.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_14.750-16.050.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_16.750-18.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_17.600-19.600.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_17.750-19.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_18.500-20.500.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_22.750-24.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_24.750-26.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_28.750-30.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_3.650-4.900.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_4.650-6.650.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_41.750-43.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_43.750-45.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_44.000-46.000.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_53.750-55.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_55.750-57.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_57.750-59.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_59.750-61.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_61.750-63.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_63.750-65.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_65.750-67.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_70.000-72.000.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_72.650-74.650.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_74.000-76.000.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_75.750-77.750.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_84.500-86.500.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_9.250-11.250.npy
Acanthiza chrysorrhoa,13.28,-38.4867,143.6845,region_95.750-97.750.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_0.700-2.700.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_10.050-12.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_12.050-14.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_16.000-18.000.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_18.000-20.000.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_18.050-20.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_2.700-4.700.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_20.050-22.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_22.050-24.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_22.900-24.900.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_24.050-26.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_26.900-28.900.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_30.050-32.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_32.000-34.000.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_34.000-36.000.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_34.450-36.450.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_38.450-40.450.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_38.850-40.850.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_4.050-6.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_40.450-42.450.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_42.450-44.450.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_44.450-46.150.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_46.400-48.100.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_48.350-50.200.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_5.200-7.200.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_50.450-52.150.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_6.050-8.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_8.050-10.050.npy
Acanthiza lineata,39.26,-38.115,143.7625,region_9.200-11.200.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.100-2.100.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.150-2.150.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.200-2.200.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.300-2.300.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.400-2.300.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.400-2.400.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.500-2.350.npy
Acanthiza nana,34.33,-38.4983,143.3928,region_0.600-2.600.npy
