Animal,Common Name,Bio Prompt,Image Prompt,"Bio
Generated","Image
Generated
(Best of 4)","Real Image
Obtained","Bio-verified 
(Wikipedia)","Image-verified
(Image Search)","Assets added to site and 
both lookup functions updated",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,JSON
Acanthagenys rufogularis,Spiny-cheeked honeyeater,Please generate a short species bio with some interesting facts about  Acanthagenys rufogularis.,"A photo realistic images of the animal, Acanthagenys rufogularis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthagenys rufogularis in it's natural habitat","A photo realistic images of the animal, ", in it's natural habitat,Please generate a short species bio with some interesting facts about  Acanthagenys rufogularis.,Please generate a short species bio with some interesting facts about  ,.,
Acanthiza apicalis,Inland thornbill,Please generate a short species bio with some interesting facts about  Acanthiza apicalis.,"A photo realistic images of the animal, Acanthiza apicalis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza apicalis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza apicalis.,,,
Acanthiza chrysorrhoa,Yellow-rumped thornbill,Please generate a short species bio with some interesting facts about  Acanthiza chrysorrhoa.,"A photo realistic images of the animal, Acanthiza chrysorrhoa in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza chrysorrhoa in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza chrysorrhoa.,,,
Acanthiza lineata,Striated thornbill,Please generate a short species bio with some interesting facts about  Acanthiza lineata.,"A photo realistic images of the animal, Acanthiza lineata in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza lineata in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza lineata.,,,
Acanthiza nana,Yellow thornbill,Please generate a short species bio with some interesting facts about  Acanthiza nana.,"A photo realistic images of the animal, Acanthiza nana in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza nana in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza nana.,,,
Acanthiza pusilla,Brown thornbill,Please generate a short species bio with some interesting facts about  Acanthiza pusilla.,"A photo realistic images of the animal, Acanthiza pusilla in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza pusilla in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza pusilla.,,,
Acanthiza reguloides,Buff-rumped thornbill,Please generate a short species bio with some interesting facts about  Acanthiza reguloides.,"A photo realistic images of the animal, Acanthiza reguloides in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza reguloides in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza reguloides.,,,
Acanthiza uropygialis,Chestnut-rumped thornbill,Please generate a short species bio with some interesting facts about  Acanthiza uropygialis.,"A photo realistic images of the animal, Acanthiza uropygialis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthiza uropygialis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthiza uropygialis.,,,
Acanthorhynchus tenuirostris,Eastern spinebill,Please generate a short species bio with some interesting facts about  Acanthorhynchus tenuirostris.,"A photo realistic images of the animal, Acanthorhynchus tenuirostris in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acanthorhynchus tenuirostris in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acanthorhynchus tenuirostris.,,,
Accipiter cirrocephalus,Collared sparrowhawk,Please generate a short species bio with some interesting facts about  Accipiter cirrocephalus.,"A photo realistic images of the animal, Accipiter cirrocephalus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Accipiter cirrocephalus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Accipiter cirrocephalus.,,,
Accipiter fasciatus,Brown Goshawk,Please generate a short species bio with some interesting facts about  Accipiter fasciatus.,"A photo realistic images of the animal, Accipiter fasciatus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Accipiter fasciatus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Accipiter fasciatus.,,,
Accipiter cooperi,Cooper's hawk,Please generate a short species bio with some interesting facts about  AccipiterÂ cooperi.,"A photo realistic images of the animal, AccipiterÂ cooperi in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Accipiter cooperi in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Accipiter cooperi.,,,
Acrocephalus australis,Australian reed warbler,Please generate a short species bio with some interesting facts about  Acrocephalus australis.,"A photo realistic images of the animal, Acrocephalus australis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Acrocephalus australis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Acrocephalus australis.,,,
Aegotheles cristatus,Australian owlet-nightjar,Please generate a short species bio with some interesting facts about  Aegotheles cristatus.,"A photo realistic images of the animal, Aegotheles cristatus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Aegotheles cristatus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Aegotheles cristatus.,,,
Aidemosyne modesta,Plum-headed finch,Please generate a short species bio with some interesting facts about  Aidemosyne modesta.,"A photo realistic images of the animal, Aidemosyne modesta in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Aidemosyne modesta in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Aidemosyne modesta.,,,
Alisterus scapularis,Australian king parrot,Please generate a short species bio with some interesting facts about  Alisterus scapularis.,"A photo realistic images of the animal, Alisterus scapularis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Alisterus scapularis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Alisterus scapularis.,,,
Alauda Arvensis,Eurasian skylark,Please generate a short species bio with some interesting facts about  Alauda Arvensis.,"A photo realistic images of the animal, Alauda Arvensis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Alauda Arvensis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Alauda Arvensis.,,,
Amytornis purnelli,Dusky grasswren,Please generate a short species bio with some interesting facts about  Amytornis purnelli.,"A photo realistic images of the animal, Amytornis purnelli in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Amytornis purnelli in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Amytornis purnelli.,,,
Anas superciliosa,Pacific black duck,Please generate a short species bio with some interesting facts about  Anas superciliosa.,"A photo realistic images of the animal, Anas superciliosa in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anas superciliosa in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anas superciliosa.,,,
Anhinga novaehollandiae,Australasian darter,Please generate a short species bio with some interesting facts about  Anhinga novaehollandiae.,"A photo realistic images of the animal, Anhinga novaehollandiae in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anhinga novaehollandiae in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anhinga novaehollandiae.,,,
Anseranas semipalmata,Magpie Goose,Please generate a short species bio with some interesting facts about  Anseranas semipalmata.,"A photo realistic images of the animal, Anseranas semipalmata in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anseranas semipalmata in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anseranas semipalmata.,,,
Anthochaera carunculata,Red wattlebird,Please generate a short species bio with some interesting facts about  Anthochaera carunculata.,"A photo realistic images of the animal, Anthochaera carunculata in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anthochaera carunculata in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anthochaera carunculata.,,,
Anthochaera chrysoptera,Little wattlebird,Please generate a short species bio with some interesting facts about  Anthochaera chrysoptera.,"A photo realistic images of the animal, Anthochaera chrysoptera in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anthochaera chrysoptera in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anthochaera chrysoptera.,,,
Anthochaera phrygia,Regent honeyeater,Please generate a short species bio with some interesting facts about  Anthochaera phrygia.,"A photo realistic images of the animal, Anthochaera phrygia in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anthochaera phrygia in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anthochaera phrygia.,,,
Anthus novaeseelandiae,Australian pipit,Please generate a short species bio with some interesting facts about  Anthus novaeseelandiae.,"A photo realistic images of the animal, Anthus novaeseelandiae in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Anthus novaeseelandiae in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Anthus novaeseelandiae.,,,
Antigone antigone,Sarus crane,Please generate a short species bio with some interesting facts about  Antigone antigone.,"A photo realistic images of the animal, Antigone antigone in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Antigone antigone in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Antigone antigone.,,,
Antigone rubicunda,Brolga,Please generate a short species bio with some interesting facts about  Antigone rubicunda.,"A photo realistic images of the animal, Antigone rubicunda in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Antigone rubicunda in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Antigone rubicunda.,,,
Aphelocephala leucopsis,Southern whiteface,Please generate a short species bio with some interesting facts about  Aphelocephala leucopsis.,"A photo realistic images of the animal, Aphelocephala leucopsis in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Aphelocephala leucopsis in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Aphelocephala leucopsis.,,,
ApocritaÂ sp.,,Please generate a short species bio with some interesting facts about  ApocritaÂ sp..,"A photo realistic images of the animal, ApocritaÂ sp. in it's natural habitat",,,,,,,,"A photo realistic images of the animal, ApocritaÂ sp. in it's natural habitat",,,Please generate a short species bio with some interesting facts about  ApocritaÂ sp..,,,
Aprosmictus erythropterus,Red-winged parrot,Please generate a short species bio with some interesting facts about  Aprosmictus erythropterus.,"A photo realistic images of the animal, Aprosmictus erythropterus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Aprosmictus erythropterus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Aprosmictus erythropterus.,,,
Aquila audax,Wedge-tailed eagle,Please generate a short species bio with some interesting facts about  Aquila audax.,"A photo realistic images of the animal, Aquila audax in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Aquila audax in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Aquila audax.,,,
Artamus cinereus,Black-faced woodswallow,Please generate a short species bio with some interesting facts about  Artamus cinereus.,"A photo realistic images of the animal, Artamus cinereus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Artamus cinereus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Artamus cinereus.,,,
Artamus cyanopterus,Dusky woodswallow,Please generate a short species bio with some interesting facts about  Artamus cyanopterus.,"A photo realistic images of the animal, Artamus cyanopterus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Artamus cyanopterus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Artamus cyanopterus.,,,
Artamus minor,Little woodswallow,Please generate a short species bio with some interesting facts about  Artamus minor.,"A photo realistic images of the animal, Artamus minor in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Artamus minor in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Artamus minor.,,,
Artamus superciliosus,White-browed woodswallow,Please generate a short species bio with some interesting facts about  Artamus superciliosus.,"A photo realistic images of the animal, Artamus superciliosus in it's natural habitat",,Y,,,,,,"A photo realistic images of the animal, Artamus superciliosus in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Artamus superciliosus.,,,
Atrapsalta encaustica,Black Squeaker,Please generate a short species bio with some interesting facts about  Atrapsalta encaustica.,"A photo realistic images of the animal, Atrapsalta encaustica in it's natural habitat",,Failed,,,,,,"A photo realistic images of the animal, Atrapsalta encaustica in it's natural habitat",,,Please generate a short species bio with some interesting facts about  Atrapsalta encaustica.,,,
