Scientific Name
HOME
Acanthagenys rufogularis
Acanthiza apicalis
Acanthiza chrysorrhoa
Acanthiza ewingii
Acanthiza lineata
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris
Accipiter cirrocephalus
Accipiter fasciatus
Accipiter novaehollandiae
Acridotheres tristis
Acrocephalus australis
Acrocephalus orientalis
Acrocephalus stentoreus
Actitis hypoleucos
Aegotheles cristatus
Aerodramus vanikorensis
Ailuroedus crassirostris
Alauda arvensis
Alcedo azurea
Alcedo pusilla
Alectura lathami
Alisterus scapularis
Amaurornis moluccana
Amaurornis phoenicurus
Amytornis striatus
Anas acuta
Anas castanea
Anas clypeata
Anas gracilis
Anas platyrhynchos
Anas querquedula
Anas rhynchotis
Anas superciliosa
Anhinga melanogaster
Anous minutus
Anous stolidus
Anous tenuirostris
Anseranas semipalmata
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthus cervinus
Anthus novaeseelandiae
Aphelocephala pectoralis
Aplonis metallica
Aprosmictus erythropterus
Aptenodytes forsteri
Aptenodytes patagonicus
Apus affinis
Apus pacificus
Aquila audax
Ardea alba
Ardea ibis
Ardea intermedia
Ardea pacifica
Ardea picata
Ardea sumatrana
Ardeotis australis
Arenaria interpres
Arses lorealis
Artamus cinereus
Artamus cyanopterus
Artamus leucorynchus
Artamus minor
Artamus personatus
Artamus superciliosus
Atrichornis rufescens
Aviceda subcristata
Aythya australis
Barnardius zonarius bernardi
Barnardius zonarius macgillivrayi
Barnardius zonarius semitorquatus
Barnardius zonarius zonarius
Bartramia longicauda
Biziura lobata
Botaurus poiciloptilus
Branta canadensis
Bulweria bulwerii
Burhinus grallarius
Butorides striatus
Cacatua galerita
Cacatua leadbeateri
Cacatua pastinator
Cacatua roseicapilla
Cacatua sanguinea
Cacatua tenuirostris
Cacomantis castaneiventris
Cacomantis flabelliformis
Cacomantis variolosus
Calamanthus cautus
Calidris acuminata
Calidris alba
Calidris alpina
Calidris bairdii
Calidris canutus
Calidris ferruginea
Calidris fuscicollis
Calidris melanotos
Calidris minuta
Calidris subminuta
Calidris tenuirostris
Callipepla californica
Callocephalon fimbriatum
Calonectris leucomelas
Calyptorhynchus banksii
Calyptorhynchus baudinii
Calyptorhynchus funereus
Calyptorhynchus lathami
Calyptorhynchus latirostris
Caprimulgus affinis
Caprimulgus macrurus
Carduelis carduelis
Carduelis chloris
Carduelis flammea
Casuarius casuarius
Cecropis daurica
Centropus phasianinus
Cereopsis novaehollandiae
Certhionyx niger
Chalcophaps indica
Charadrius alexandrinus
Charadrius australis
Charadrius bicinctus
Charadrius dubius
Charadrius hiaticula
Charadrius leschenaultii
Charadrius mongolus
Charadrius ruficapillus
Chenonetta jubata
Chlamydera cerviniventris
Chlamydera guttata
Chlamydera maculata
Chlamydera nuchalis
Chlidonias hybridus
Chlidonias leucopterus
Chlidonias niger
Chrysococcyx basalis
Chrysococcyx lucidus
Chrysococcyx minutillus
Chrysococcyx osculans
Chthonicola sagittatus
Cincloramphus cruralis
Cincloramphus mathewsi
Cinclosoma castaneothorax
Cinclosoma castanotus
Cinclosoma punctatum
Circus approximans
Circus assimilis
Cisticola exilis
Cisticola juncidis
Climacteris affinis
Climacteris erythrops
Climacteris picumnus
Collocalia esculenta
Colluricincla boweri
Colluricincla harmonica
Colluricincla megarhyncha
Columba leucomela
Columba livia
Columba vitiensis
Conopophila albogularis
Coracina lineata
Coracina maxima
Coracina novaehollandiae
Coracina papuensis
Coracina tenuirostris
Corcorax melanorhamphos
Cormobates leucophaeus
Corvus bennetti
Corvus coronoides
Corvus mellori
Corvus orru
Corvus splendens
Corvus tasmanicus
Cracticus mentalis
Cracticus nigrogularis
Cracticus quoyi
Cracticus torquatus
Cuculus optatus
Cuculus pallidus
Cuculus pyrrhophanus
Cyanoptila cyanomelana
Cyanoramphus cookii
Cyanoramphus novaezelandiae
Cyclopsitta diophthalma
Cygnus atratus
Cygnus olor
Dacelo leachii
Dacelo novaeguineae
Daphoenositta chrysoptera
Daption capense
Dendrocygna arcuata
Dendrocygna eytoni
Dendrocygna guttata
Dicaeum hirundinaceum
Dicrurus bracteatus
Diomedea epomophora
Diomedea exulans
Dromaius novaehollandiae
Ducula bicolor
Ducula concinna
Ducula mullerii
Eclectus roratus
Egretta garzetta
Egretta intermedia
Egretta novaehollandiae
Egretta sacra
Elanus axillaris
Elseyornis melanops
Emblema pictum
Entomyzon cyanotis
Eopsaltria australis
Eopsaltria georgiana
Eopsaltria griseogularis
Ephippiorhynchus asiaticus
Epthianura albifrons
Erythrogonys cinctus
Erythrura gouldiae
Erythrura trichroa
Esacus neglectus
Eudynamys orientalis
Eudynamys scolopacea
Eudyptes chrysocome
Eudyptes chrysolophus
Eudyptes pachyrhynchus
Eudyptes robustus
Eudyptes schlegeli
Eudyptes sclateri
Eudyptula minor
Eurostopodus mystacalis
Eurystomus orientalis
Falco berigora
Falco cenchroides
Falco longipennis
Falco peregrinus
Falco subniger
Falcunculus frontatus
Ficedula narcissina
Fregata ariel
Fregata minor
Fulica atra
Fulmarus glacialoides
Gallicrex cinerea
Gallinago hardwickii
Gallinula mortierii
Gallinula tenebrosa
Gallinula ventralis
Gallirallus philippensis
Gallirallus sylvestris
Gallus gallus
Garrodia nereis
