Common Name,Scientific Name,Number of Files
Australian Boobook,Ninox Boobook,92
Austarlian Brushturkey,Alectura Lathami,28
Australian Bustard,Ardeotis australis,1
Australian Crake,Porzana fluminea,8
Australian Golden Whistler,Pachycephala pectoralis,115
Australian Hobby,Falco longipennis,6
Australian King Parrot,Alisterus scapularis,40
Australian Logrunner,Orthonyx temminckii,32
Australian Magpie,Gymnorhina tibicen,85
Australian Masked Owl,Tyto novaehollandiae,25
Australian Owlet-nightjar,Aegotheles cristatus,58
Australian Pelican,Pelecanus conspicillatus,7
Australian Pied Cormorant,Phalacrocorax varius,1
Australian Pipit,Anthus Astralis,14
Australian Pratincole,Stiltia isabella,6
Australian Raven,Corvus coronoides,45
Australian Reed Warbler,Acrocephalus australis,71
Australian Ringneck,Barnardius zonarius,43
Australian Shelduck,Tadorna tadornoides,16
Australian Swiftlet,Aerodramus terraereginae,1
Australian Tern,Gelochelidon macrotarsa,2
Australian White Ibis,Threskiornis molucca,37
