,sounds,species,latitude,longitude
0,X02937,Ninox boobook,"""-33.1449""","""149.9814"""
1,X01769,Menura novaehollandiae,"""-33.1738""","""149.9977"""
2,X00489,Chalcites basalis,"""-33.1449""","""149.9814"""
3,X00213,Froggattina australis,"""-33.1449""","""149.9814"""
4,X02955,Podargus strigoides,"""-33.1449""","""149.9814"""
5,X00763,Philemon corniculatus,"""-33.1449""","""149.9814"""
6,X01274,Myiagra rubecula,"""-33.1101""","""150.0567"""
7,X02275,Corvus coronoides,"""-33.1171""","""150.1566"""
8,X03063,Menura novaehollandiae,"""-33.1101""","""150.0567"""
9,X03916,Corcorax melanorhamphos,"""-33.1449""","""149.9814"""
10,X04156,Psophodes nigrogularis,"""-34.8472""","""135.8604"""
11,X02463,Gerygone olivacea,"""-33.1171""","""150.1566"""
12,X02534,Meliphaga lewinii,"""-29.4079""","""153.3503"""
13,X04272,Litoria serrata,"""-16.96921""","""145.62697"""
14,X00723,Anthochaera chrysoptera,"""-29.1141""","""153.4279"""
15,X01289,Myiagra cyanoleuca,"""-33.1101""","""150.0567"""
16,X03537,Ptilotula penicillata,"""-33.1341""","""150.1358"""
17,X01090,Melanodryas cucullata,"""-33.1449""","""149.9814"""
18,X02424,Caligavis chrysops,"""-33.1341""","""150.1358"""
19,X02117,Ptilotula penicillata,"""-33.1449""","""149.9814"""
20,X01277,Myiagra rubecula,"""-33.1171""","""150.1566"""
21,X04198,Cophixalus ornatus,"""-17.28267""","""145.63143"""
22,X03852,Strepera graculina,"""-33.1449""","""149.9814"""
23,X00656,Gerygone fusca,"""-32.1497""","""115.8291"""
24,X04017,Conocephalus albescens,"""-33.1449""","""149.9814"""
25,X04204,Litoria myola,"""-16.8""","""145.6"""
26,X03049,Dacelo novaeguineae,"""-33.1449""","""149.9814"""
27,X00909,Nesoptilotis leucotis,"""-33.3814""","""149.8849"""
28,X00787,Philemon corniculatus,"""-33.1449""","""149.9814"""
29,X03498,Caligavis chrysops,"""-28.8913""","""152.5303"""
30,X00602,Neosericornis citreogularis,"""-32.8405""","""150.3575"""
31,X03622,Eopsaltria australis,"""-33.1171""","""150.1566"""
32,X04013,Phaneropterinae sp.,"""-33.1449""","""149.9814"""
33,X03604,Petroica boodang,"""-33.1449""","""149.9814"""
34,X00693,Acanthiza chrysorrhoa,"""-33.1449""","""149.9814"""
35,X00924,Ptilotula flavescens,"""-19.0236""","""138.7097"""
36,X01178,Oreoica gutturalis,"""-25.3451""","""131.0361"""
37,X00283,Egretta novaehollandiae,"""-23.6322""","""132.7277"""
38,X03493,Caligavis chrysops,"""-33.1449""","""149.9814"""
39,X00670,Acanthiza pusilla,"""-33.1107""","""150.0567"""
40,X02647,Caligavis chrysops,"""-33.1449""","""149.9814"""
41,X01093,Melanodryas cucullata,"""-33.1449""","""149.9814"""
42,X01199,Pachycephala rufiventris,"""-33.3814""","""149.8849"""
43,X03492,Caligavis chrysops,"""-33.1449""","""149.9814"""
44,X02111,Geopelia placida,"""-33.1449""","""149.9814"""
45,X00756,Philemon corniculatus,"""-33.1107""","""150.0567"""
46,X02221,Dacelo novaeguineae,"""-33.1341""","""150.1358"""
47,X01596,Cincloramphus mathewsi,"""-24.2004""","""132.8231"""
48,X03892,Corvus coronoides,"""-33.1449""","""149.9814"""
49,X03184,Pyrrholaemus sagittata,"""-33.1449""","""149.9814"""
50,X01603,Cisticola exilis,"""-32.9376""","""149.7012"""
51,X03473,Manorina melanocephala,"""-33.1449""","""149.9814"""
52,X01577,Petrochelidon nigricans,"""-33.1449""","""149.9814"""
53,X03736,Rhipidura leucophrys,"""-33.1449""","""149.9814"""
54,X01812,Litoria peronii,"""-33.3814""","""149.885"""
55,X03824,Gymnorhina tibicen,"""-33.1449""","""149.9814"""
56,X03518,Ptilotula fusca,"""-33.1384""","""150.1269"""
57,X00536,Pitta iris,"""-13.3019""","""132.4329"""
58,X00629,Pyrrholaemus sagittata,"""-33.1449""","""149.9814"""
59,X01139,Pomatostomus superciliosus,"""-33.1449""","""149.9814"""
60,X02325,Smicrornis brevirostris,"""-33.1341""","""150.1358"""
61,X04232,Litoria serrata,"""-16.93868""","""145.6106"""
62,X01235,Colluricincla harmonica,"""-18.7395""","""138.3191"""
63,X04148,Psophodes nigrogularis,"""-34.8319""","""135.8539"""
64,X02669,Smicrornis brevirostris,"""-33.1341""","""150.1358"""
