Class,Filename,Seconds,Total_samples_by_class,Total_duration_by_class
Ninox strenua - powerful owl,powerful owl (1).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (10).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (100).wav,2.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (101).wav,3.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (102).wav,3.35,107,00:04:53
Ninox strenua - powerful owl,powerful owl (103).wav,3.55,107,00:04:53
Ninox strenua - powerful owl,powerful owl (104).wav,3.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (105).wav,3.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (106).wav,3.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (107).wav,3.3,107,00:04:53
Ninox strenua - powerful owl,powerful owl (11).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (12).wav,0.7,107,00:04:53
Ninox strenua - powerful owl,powerful owl (13).wav,0.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (14).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (15).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (16).wav,0.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (17).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (18).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (19).wav,0.85,107,00:04:53
Ninox strenua - powerful owl,powerful owl (2).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (20).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (21).wav,2.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (22).wav,2.45,107,00:04:53
Ninox strenua - powerful owl,powerful owl (23).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (24).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (25).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (26).wav,1.2,107,00:04:53
Ninox strenua - powerful owl,powerful owl (27).wav,0.35,107,00:04:53
Ninox strenua - powerful owl,powerful owl (28).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (29).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (3).wav,1.5,107,00:04:53
Ninox strenua - powerful owl,powerful owl (30).wav,2.2,107,00:04:53
Ninox strenua - powerful owl,powerful owl (31).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (32).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (33).wav,0.6,107,00:04:53
Ninox strenua - powerful owl,powerful owl (34).wav,2.927,107,00:04:53
Ninox strenua - powerful owl,powerful owl (35).wav,1.5,107,00:04:53
Ninox strenua - powerful owl,powerful owl (36).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (37).wav,2.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (38).wav,2.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (39).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (4).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (40).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (41).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (42).wav,0.9,107,00:04:53
Ninox strenua - powerful owl,powerful owl (43).wav,3.5,107,00:04:53
Ninox strenua - powerful owl,powerful owl (44).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (45).wav,0.65,107,00:04:53
Ninox strenua - powerful owl,powerful owl (46).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (47).wav,0.7,107,00:04:53
Ninox strenua - powerful owl,powerful owl (48).wav,2.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (49).wav,1.4,107,00:04:53
Ninox strenua - powerful owl,powerful owl (5).wav,0.6,107,00:04:53
Ninox strenua - powerful owl,powerful owl (50).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (51).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (52).wav,1.7,107,00:04:53
Ninox strenua - powerful owl,powerful owl (53).wav,0.75,107,00:04:53
Ninox strenua - powerful owl,powerful owl (54).wav,4.0,107,00:04:53
Ninox strenua - powerful owl,powerful owl (55).wav,4.0,107,00:04:53
