Class Name
Acanthiza chrysorrhoa
Acanthiza lineata
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthiza uropygialis
Acanthorhynchus tenuirostris
Accipiter cirrocephalus
Aidemosyne modesta
Alauda arvensis
Anhinga novaehollandiae
Anthochaera phrygia
Artamus minor
Barnardius zonarius
Calyptorhynchus banksii
Calyptorhynchus lathami
Capra Hircus
Carduelis carduelis
Carterornis leucotis
Cervus Unicolour
Ceyx azureus
Chenonetta jubata
Chlamydera nuchalis
Cincloramphus mathewsi
Cinclosoma punctatum
Cisticola exilis
Climacteris picumnus
Colluricincla harmonica
Conopophila albogularis
Cophixalus exiguus
Cophixalus infacetus
Cophixalus ornatus
Coracina novaehollandiae
Coracina papuensis
Corcorax melanorhamphos
Cormobates leucophaea
Corvus mellori
Coturnix pectoralis
Cygnus atratus
Dama Dama
Daphoenositta chrysoptera
Dicaeum hirundinaceum
Egretta novaehollandiae
Elseyornis melanops
Entomyzon cyanotis
Eurostopodus argus
Eurostopodus mystacalis
Eurystomus orientalis
Falco berigora
Falco cenchroides
Falco peregrinus
Falcunculus frontatus
Felis Catus
Fulica atra
Gallinula tenebrosa
Gerygone mouki
Haliastur sphenurus
Irediparra gallinacea
Lalage leucomela
Litoria inermis
Manorina melanophrys
Megapodius reinwardt
Melithreptus gularis
Microeca flavigaster
Neophema pulchella
Pachycephala simplex
Parvipsitta pusilla
Pelecanus conspicillatus
Petrochelidon ariel
Petrochelidon nigricans
Petroica boodang
Petroica goodenovii
Petroica phoenicea
Pezoporus wallicus
Phaps elegans
Philemon citreogularis
Philemon corniculatus
Pitta iris
Platycercus elegans
Plectorhyncha lanceolata
Ptilinopus regina
Ramsayornis fasciatus
Ranoidea caerulea
Rattus Norvegicus
Rhinella marina
Scythrops novaehollandiae
Spilopelia chinensis
Stagonopleura guttata
Strepera versicolor
Sus Scrofa
Symposiachrus trivirgatus
Tregellasia capito
Trichosurus vulpecula
Uperoleia altissima
Uperoleia mimula
Vanellus miles
Vulpes vulpes
