species,file_name,is_duplicate,duplicate_of
cincloramphus mathewsi,project_echo_bucket_2__X02447_seg295.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg129.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02554_seg321.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02554_seg192.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02438_seg39.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg54.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__region_134.150-136.150.mp3,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg608.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02447_seg164.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02447_seg315.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02554_seg294.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X01597_seg22.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02554_seg236.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02438_seg145.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02438_seg81.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg358.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg198.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02447_seg187.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X03938_seg115.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg384.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg2.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg130.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X01601_seg56.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02447_seg336.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02546_seg129.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__region_180.000-182.000.mp3,False,
cincloramphus mathewsi,project_echo_bucket_2__X02546_seg208.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__region_230.000-232.000.mp3,False,
cincloramphus mathewsi,project_echo_bucket_3__X01596_seg14.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__X02554_seg516.wav,False,
cincloramphus mathewsi,project_echo_bucket_2__region_140.700-142.700.mp3,False,
cincloramphus mathewsi,project_echo_bucket_2__X03939_seg105.wav,False,
cincloramphus mathewsi,project_echo_bucket_3__X02554_seg567.wav,False,
