species,before_count,after_count
cincloramphus mathewsi,3639,150
meleagris gallopavo,836,150
rhipidura leucophrys,732,150
colluricincla harmonica,704,150
phylidonyris niger,632,150
rhipidura albiscapa,512,150
horornis diphone,338,150
asio flammeus,331,150
dasyurus maculatus,288,150
acanthiza pusilla,288,150
cisticola exilis,254,150
litoria inermis,238,150
branta bernicla nigricans,222,150
barnardius zonarius,214,150
cophixalus infacetus,206,150
spilopelia chinensis,195,150
philemon citreogularis,192,150
acanthiza reguloides,162,150
acanthiza nana,156,150
petroica goodenovii,148,148
haliastur sphenurus,136,136
philemon corniculatus,128,128
acanthorhynchus tenuirostris,118,118
vulpes vulpes,118,118
rattus norvegicus,114,114
rhipidura rufifrons,102,102
melithreptus gularis,100,100
carterornis leucotis,90,90
accipiter cirrocephalus,90,90
cinclosoma punctatum,84,84
uperoleia altissima,78,78
carduelis carduelis,72,72
parvipsitta pusilla,72,72
acanthiza uropygialis,70,70
stomiopera unicolor,70,70
manorina melanophrys,68,68
vanellus miles,66,66
stizoptera bichenovii,66,66
capra hircus,64,64
cormobates leucophaea,58,58
petrochelidon nigricans,54,54
dicaeum hirundinaceum,54,54
uperoleia mimula,54,54
plectorhyncha lanceolata,54,54
falco peregrinus,52,52
falco berigora,52,52
felis catus,50,50
dama dama,48,48
eurystomus orientalis,48,48
sus scrofa,48,48
daphoenositta chrysoptera,48,48
artamus minor,42,42
callocephalon fimbriatum,40,40
gerygone mouki,40,40
cygnus atratus,40,40
acanthiza chrysorrhoa,38,38
cophixalus exiguus,36,36
psophodes cristatus,36,36
coracina novaehollandiae,36,36
anthochaera phrygia,36,36
acanthiza lineata,36,36
gallinula tenebrosa,36,36
calyptorhynchus banksii,34,34
corvus mellori,34,34
artamus cinereus,30,30
pitta versicolor,30,30
pezoporus wallicus,30,30
phaps elegans,28,30
petroica rosea,28,30
antigone rubicunda,28,30
irediparra gallinacea,28,30
artamus cyanopterus,26,30
alauda arvensis,26,30
ramsayornis fasciatus,24,30
lalage leucomela,24,30
rhipidura rufiventris,24,30
petroica phoenicea,24,30
eurostopodus mystacalis,24,30
microeca flavigaster,24,30
