species,recording_count
melithreptus brevirostris,38
conopophila albogularis,38
pardalotus rubricatus,36
platycercus elegans,36
pitta iris,32
tregellasia capito,30
strepera versicolor,30
climacteris picumnus,30
rhinella marina,30
calyptorhynchus lathami,30
elseyornis melanops,28
symposiachrus trivirgatus,26
coturnix pectoralis,24
artamus superciliosus,24
cervus unicolour,24
ranoidea caerulea,22
petroica boodang,22
chlamydera nuchalis,22
chenonetta jubata,22
nesoptilotis leucotis,22
aidemosyne modesta,20
corcorax melanorhamphos,20
megapodius reinwardt,20
fulica atra,18
falcunculus frontatus,18
pycnoptilus floccosus,16
falco cenchroides,16
petrochelidon ariel,16
trichosurus vulpecula,14
melithreptus lunatus,14
scythrops novaehollandiae,14
eurostopodus argus,14
egretta novaehollandiae,12
anhinga novaehollandiae,12
neophema pulchella,10
entomyzon cyanotis,10
coracina papuensis,10
pelecanus conspicillatus,10
cophixalus ornatus,10
ptilinopus regina,10
ceyx azureus,8
pachycephala simplex,6
geopelia cuneata,4
