species,file_name,split
uperoleia altissima,project_echo_bucket_3__region_61.900-63.900.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_42.450-43.800.mp3,test
uperoleia altissima,project_echo_bucket_3__region_53.900-55.900.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_62.800-64.800.mp3,train
uperoleia altissima,project_echo_bucket_3__region_32.100-34.100.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_97.650-99.650.mp3,train
uperoleia altissima,project_echo_bucket_2__region_97.650-99.650.mp3,train
uperoleia altissima,project_echo_bucket_2__region_101.650-103.650.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_63.900-65.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_38.100-40.100.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_13.700-15.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_55.900-57.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_17.700-19.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_7.700-9.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_210.600-212.600.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_30.100-32.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_93.650-95.650.mp3,test
uperoleia altissima,project_echo_bucket_3__region_27.700-29.700.mp3,test
uperoleia altissima,project_echo_bucket_3__region_23.150-24.350.mp3,train
uperoleia altissima,project_echo_bucket_2__region_35.700-36.900.mp3,train
uperoleia altissima,project_echo_bucket_2__region_95.650-97.650.mp3,train
uperoleia altissima,project_echo_bucket_3__region_54.100-56.100.mp3,train
uperoleia altissima,project_echo_bucket_2__region_17.950-19.950.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_7.700-9.700.mp3,train
uperoleia altissima,project_echo_bucket_3__region_42.450-43.800.mp3,test
uperoleia altissima,project_echo_bucket_2__region_25.700-27.700.mp3,test
uperoleia altissima,project_echo_bucket_3__region_48.100-50.100.mp3,test
uperoleia altissima,project_echo_bucket_2__region_21.700-23.700.mp3,train
uperoleia altissima,project_echo_bucket_3__region_99.650-101.650.mp3,test
uperoleia altissima,project_echo_bucket_2__region_11.700-13.700.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_99.650-101.650.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_90.250-91.550.mp3,train
uperoleia altissima,project_echo_bucket_2__region_53.900-55.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_19.950-21.950.mp3,train
uperoleia altissima,project_echo_bucket_2__region_5.700-7.700.mp3,train
uperoleia altissima,project_echo_bucket_3__region_55.900-57.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_23.700-25.700.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_75.900-77.900.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_30.100-32.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_9.700-11.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_19.700-21.700.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_208.900-210.400.mp3,train
uperoleia altissima,project_echo_bucket_3__region_19.700-21.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_87.000-88.750.mp3,test
uperoleia altissima,project_echo_bucket_3__region_62.800-64.800.mp3,train
uperoleia altissima,project_echo_bucket_2__region_63.900-65.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_49.900-51.900.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_93.650-95.650.mp3,train
uperoleia altissima,project_echo_bucket_3__region_95.650-97.650.mp3,test
uperoleia altissima,project_echo_bucket_2__region_17.700-19.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_40.100-42.100.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_13.700-15.700.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_46.100-48.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_17.950-19.950.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_24.400-26.000.mp3,train
uperoleia altissima,project_echo_bucket_3__region_67.900-69.900.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_75.900-77.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_87.000-88.750.mp3,train
uperoleia altissima,project_echo_bucket_2__region_59.900-61.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_69.900-71.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_113.650-115.500.mp3,test
uperoleia altissima,project_echo_bucket_3__region_1.600-2.950.mp3,train
uperoleia altissima,project_echo_bucket_3__region_197.550-198.750.mp3,train
uperoleia altissima,project_echo_bucket_3__region_21.700-23.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_29.700-31.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_48.100-50.100.mp3,train
uperoleia altissima,project_echo_bucket_2__region_19.950-21.950.mp3,test
uperoleia altissima,project_echo_bucket_2__region_105.650-107.650.mp3,test
uperoleia altissima,project_echo_bucket_1__region_23.700-25.700.wav,train
uperoleia altissima,project_echo_bucket_2__region_54.100-56.100.mp3,test
uperoleia altissima,project_echo_bucket_3__region_91.650-93.650.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_208.900-210.400.mp3,test
uperoleia altissima,project_echo_bucket_2__region_46.100-48.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_103.650-105.650.mp3,test
uperoleia altissima,project_echo_bucket_3__region_58.800-60.800.mp3,train
uperoleia altissima,project_echo_bucket_2__region_38.100-40.100.mp3,train
uperoleia altissima,project_echo_bucket_2__region_43.900-45.900.mp3,train
uperoleia altissima,project_echo_bucket_2__region_60.800-62.800.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_24.400-26.000.mp3,train
uperoleia altissima,project_echo_bucket_2__region_50.100-52.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_59.900-61.900.mp3,train
uperoleia altissima,project_echo_bucket_2__region_58.800-60.800.mp3,test
uperoleia altissima,project_echo_bucket_2__region_71.900-73.900.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_32.100-34.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_88.850-90.150.mp3,train
uperoleia altissima,project_echo_bucket_3__region_71.900-73.900.mp3,train
uperoleia altissima,project_echo_bucket_2__region_64.800-66.800.mp3,train
uperoleia altissima,project_echo_bucket_3__region_85.150-86.700.mp3,train
uperoleia altissima,project_echo_bucket_3__region_15.700-17.700.mp3,test
uperoleia altissima,project_echo_bucket_2__region_15.700-17.700.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_47.900-49.900.mp3,train
uperoleia altissima,project_echo_bucket_2__region_197.550-198.750.mp3,train
uperoleia altissima,project_echo_bucket_3__region_40.100-42.100.mp3,test
uperoleia altissima,project_echo_bucket_3__region_35.700-36.900.mp3,train
uperoleia altissima,project_echo_bucket_2__region_69.900-71.900.mp3,test
uperoleia altissima,project_echo_bucket_3__region_210.600-212.600.mp3,train
uperoleia altissima,project_echo_bucket_3__region_31.700-33.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_61.900-63.900.mp3,train
uperoleia altissima,project_echo_bucket_3__region_101.650-103.650.mp3,test
uperoleia altissima,project_echo_bucket_3__region_15.950-17.950.mp3,test
uperoleia altissima,project_echo_bucket_2__region_15.950-17.950.mp3,train
uperoleia altissima,project_echo_bucket_2__region_56.800-58.800.mp3,train
uperoleia altissima,project_echo_bucket_2__region_31.700-33.700.mp3,train
uperoleia altissima,project_echo_bucket_3__region_25.700-27.700.mp3,train
uperoleia altissima,project_echo_bucket_3__region_203.050-204.600.mp3,train
uperoleia altissima,project_echo_bucket_2__region_67.900-69.900.mp3,test
uperoleia altissima,project_echo_bucket_3__region_64.800-66.800.mp3,train
uperoleia altissima,project_echo_bucket_2__region_49.900-51.900.mp3,validation
uperoleia altissima,project_echo_bucket_1__region_65.900-67.900.wav,test
uperoleia altissima,project_echo_bucket_3__region_56.800-58.800.mp3,train
uperoleia altissima,project_echo_bucket_2__region_47.900-49.900.mp3,test
uperoleia altissima,project_echo_bucket_3__region_29.700-31.700.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_103.650-105.650.mp3,test
uperoleia altissima,project_echo_bucket_3__region_105.650-107.650.mp3,train
uperoleia altissima,project_echo_bucket_3__region_90.250-91.550.mp3,train
uperoleia altissima,project_echo_bucket_2__region_9.700-11.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_85.150-86.700.mp3,train
uperoleia altissima,project_echo_bucket_1__region_27.700-29.700.wav,train
uperoleia altissima,project_echo_bucket_3__region_60.800-62.800.mp3,train
uperoleia altissima,project_echo_bucket_3__region_65.900-67.900.mp3,validation
uperoleia altissima,project_echo_bucket_3__region_5.700-7.700.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_23.150-24.350.mp3,validation
uperoleia altissima,project_echo_bucket_2__region_1.600-2.950.mp3,train
uperoleia altissima,project_echo_bucket_2__region_203.050-204.600.mp3,train
uperoleia altissima,project_echo_bucket_3__region_43.900-45.900.mp3,test
uperoleia altissima,project_echo_bucket_3__region_50.100-52.100.mp3,train
uperoleia altissima,project_echo_bucket_3__region_11.700-13.700.mp3,train
uperoleia altissima,project_echo_bucket_2__region_88.850-90.150.mp3,train
uperoleia altissima,project_echo_bucket_2__region_113.650-115.500.mp3,train
uperoleia altissima,project_echo_bucket_2__region_91.650-93.650.mp3,train
uperoleia mimula,project_echo_bucket_3__region_179.100-180.450.mp3,train
uperoleia mimula,project_echo_bucket_3__region_31.600-33.250.mp3,train
uperoleia mimula,project_echo_bucket_3__region_39.500-41.050.mp3,train
uperoleia mimula,project_echo_bucket_3__region_182.100-183.750.mp3,train
uperoleia mimula,project_echo_bucket_3__region_234.750-236.550.mp3,train
uperoleia mimula,project_echo_bucket_2__region_102.500-104.500.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_33.900-35.900.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_213.250-215.250.mp3,test
uperoleia mimula,project_echo_bucket_3__region_107.900-109.900.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_231.400-233.150.mp3,train
uperoleia mimula,project_echo_bucket_3__region_70.850-72.700.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_97.800-99.800.mp3,test
uperoleia mimula,project_echo_bucket_3__region_222.000-223.200.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_79.800-81.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_37.500-39.500.mp3,train
uperoleia mimula,project_echo_bucket_2__region_75.800-77.800.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_74.400-75.700.mp3,validation
uperoleia mimula,project_echo_bucket_2__region_225.650-226.900.mp3,train
uperoleia mimula,project_echo_bucket_3__region_97.800-99.800.mp3,validation
uperoleia mimula,project_echo_bucket_3__region_225.650-226.900.mp3,test
uperoleia mimula,project_echo_bucket_2__region_79.800-81.800.mp3,train
uperoleia mimula,project_echo_bucket_3__region_33.900-35.900.mp3,train
uperoleia mimula,project_echo_bucket_3__region_196.550-198.550.mp3,train
uperoleia mimula,project_echo_bucket_3__region_191.250-193.250.mp3,train
