filepath,species,label_id,split
Acanthiza chrysorrhoa/region_41.750-43.750.mp3,Acanthiza chrysorrhoa,0,heldout
Acanthiza chrysorrhoa/region_43.750-45.750.mp3,Acanthiza chrysorrhoa,0,heldout
Acanthiza chrysorrhoa/region_55.750-57.750.mp3,Acanthiza chrysorrhoa,0,heldout
Acanthiza chrysorrhoa/region_75.750-77.750.mp3,Acanthiza chrysorrhoa,0,heldout
Acanthiza chrysorrhoa/region_9.250-11.250.mp3,Acanthiza chrysorrhoa,0,heldout
Acanthiza chrysorrhoa/region_95.750-97.750.mp3,Acanthiza chrysorrhoa,0,heldout
Acanthiza lineata/region_12.050-14.050.mp3,Acanthiza lineata,1,heldout
Acanthiza lineata/region_16.000-18.000.mp3,Acanthiza lineata,1,heldout
Acanthiza lineata/region_32.000-34.000.mp3,Acanthiza lineata,1,heldout
Acanthiza lineata/region_34.000-36.000.mp3,Acanthiza lineata,1,heldout
Acanthiza lineata/region_38.450-40.450.mp3,Acanthiza lineata,1,heldout
Acanthiza lineata/region_38.850-40.850.mp3,Acanthiza lineata,1,heldout
Acanthiza nana/region_0.400-2.300.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_0.700-2.250.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_13.400-15.400.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_14.550-16.550.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_21.300-23.300.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_28.150-30.150.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_30.800-32.800.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_41.800-43.800.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_7.450-8.500.mp3,Acanthiza nana,2,heldout
Acanthiza nana/region_91.900-93.900.mp3,Acanthiza nana,2,heldout
Acanthiza pusilla/region_119.700-121.700.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_12.850-14.600.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_13.400-14.400.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_14.450-16.450.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_25.800-27.000.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_4.650-6.650.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_45.850-47.850.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_70.900-72.100.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_8.700-10.700.mp3,Acanthiza pusilla,3,heldout
Acanthiza pusilla/region_92.150-93.800.mp3,Acanthiza pusilla,3,heldout
Acanthiza reguloides/region_0.000-2.000.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_0.400-2.050.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_113.100-114.150.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_125.700-127.700.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_14.350-15.900.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_24.750-26.300.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_358.550-360.550.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_62.750-63.800.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_8.150-9.900.mp3,Acanthiza reguloides,4,heldout
Acanthiza reguloides/region_97.950-99.350.mp3,Acanthiza reguloides,4,heldout
Acanthiza uropygialis/region_133.650-134.950.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_32.000-34.000.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_47.800-49.250.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_54.000-56.000.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_60.700-62.200.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_63.050-65.050.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_72.000-74.000.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_76.000-78.000.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_76.550-78.550.mp3,Acanthiza uropygialis,5,heldout
Acanthiza uropygialis/region_86.050-88.050.mp3,Acanthiza uropygialis,5,heldout
Acanthorhynchus tenuirostris/region_0.300-2.300.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_0.350-2.000.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_12.700-14.700.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_2.050-4.050.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_2.100-4.100.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_2.150-4.150.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_31.700-33.700.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_4.000-6.000.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_42.700-44.700.mp3,Acanthorhynchus tenuirostris,6,heldout
Acanthorhynchus tenuirostris/region_44.700-46.700.mp3,Acanthorhynchus tenuirostris,6,heldout
Accipiter cirrocephalus/region_0.200-2.200.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_106.150-108.150.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_12.700-14.700.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_16.700-18.700.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_27.650-29.050.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_4.000-6.000.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_42.900-44.900.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_7.650-9.650.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_8.700-10.700.mp3,Accipiter cirrocephalus,7,heldout
Accipiter cirrocephalus/region_82.850-83.600.mp3,Accipiter cirrocephalus,7,heldout
Alauda arvensis/region_14.000-16.000.mp3,Alauda arvensis,9,heldout
Alauda arvensis/region_3.900-5.900.mp3,Alauda arvensis,9,heldout
Alauda arvensis/region_4.000-6.000.mp3,Alauda arvensis,9,heldout
Alauda arvensis/region_7.900-9.900.mp3,Alauda arvensis,9,heldout
Anhinga novaehollandiae/region_4.650-6.650.mp3,Anhinga novaehollandiae,10,heldout
Anthochaera phrygia/region_0.050-2.050.mp3,Anthochaera phrygia,11,heldout
Anthochaera phrygia/region_108.400-110.350.mp3,Anthochaera phrygia,11,heldout
