class_index,true_label,eligible_deduplicated_files,reconstructed_heldout_files,target_files,planned_selected_files,planned_unverified_backfill_files,shortage_before_decode
0,Acanthiza chrysorrhoa,31,6,10,10,4,0
1,Acanthiza lineata,29,6,10,10,4,0
2,Acanthiza nana,144,29,10,10,0,0
3,Acanthiza pusilla,246,49,10,10,0,0
4,Acanthiza reguloides,157,31,10,10,0,0
5,Acanthiza uropygialis,62,12,10,10,0,0
6,Acanthorhynchus tenuirostris,100,20,10,10,0,0
7,Accipiter cirrocephalus,86,17,10,10,0,0
8,Aidemosyne modesta,0,0,10,0,0,10
9,Alauda arvensis,21,4,10,10,6,0
10,Anhinga novaehollandiae,6,1,10,6,5,4
11,Anthochaera phrygia,33,7,10,10,3,0
12,Antigone rubicunda,23,5,10,10,5,0
13,Artamus cinereus,25,5,10,10,5,0
14,Artamus cyanopterus,22,4,10,10,6,0
15,Artamus minor,34,7,10,10,3,0
16,Artamus superciliosus,13,3,10,10,7,0
17,Barnardius zonarius,202,41,10,10,0,0
18,Callocephalon fimbriatum,34,7,10,10,3,0
19,Calyptorhynchus banksii,29,6,10,10,4,0
20,Calyptorhynchus lathami,15,3,10,10,7,0
21,Capra Hircus,54,11,10,10,0,0
22,Carduelis carduelis,59,12,10,10,0,0
23,Carterornis leucotis,76,15,10,10,0,0
24,Cervus Unicolour,12,2,10,10,8,0
25,Ceyx azureus,5,1,10,5,4,5
26,Chenonetta jubata,12,2,10,10,8,0
27,Chlamydera nuchalis,15,3,10,10,7,0
28,Cincloramphus mathewsi,147,29,10,10,0,0
29,Cinclosoma punctatum,71,14,10,10,0,0
30,Cisticola exilis,211,42,10,10,0,0
31,Climacteris picumnus,15,3,10,10,7,0
32,Colluricincla harmonica,607,122,10,10,0,0
33,Conopophila albogularis,22,4,10,10,6,0
34,Cophixalus exiguus,30,6,10,10,4,0
35,Cophixalus infacetus,171,34,10,10,0,0
36,Cophixalus ornatus,5,1,10,5,4,5
37,Coracina novaehollandiae,29,6,10,10,4,0
38,Coracina papuensis,5,1,10,5,4,5
39,Corcorax melanorhamphos,10,2,10,10,8,0
40,Cormobates leucophaea,48,10,10,10,0,0
41,Corvus mellori,30,6,10,10,4,0
42,Coturnix pectoralis,13,3,10,10,7,0
43,Cygnus atratus,34,7,10,10,3,0
44,Dama Dama,39,8,10,10,2,0
45,Daphoenositta chrysoptera,43,9,10,10,1,0
46,Dasyurus maculatus,260,52,10,10,0,0
47,Dicaeum hirundinaceum,45,9,10,10,1,0
48,Egretta novaehollandiae,6,1,10,6,5,4
49,Elseyornis melanops,16,3,10,10,7,0
50,Entomyzon cyanotis,5,1,10,5,4,5
51,Eurostopodus argus,7,1,10,7,6,3
52,Eurostopodus mystacalis,22,4,10,10,6,0
53,Eurystomus orientalis,46,9,10,10,1,0
54,Falco berigora,48,10,10,10,0,0
55,Falco cenchroides,8,2,10,8,6,2
56,Falco peregrinus,43,9,10,10,1,0
57,Falcunculus frontatus,10,2,10,10,8,0
58,Felis Catus,44,9,10,10,1,0
59,Fulica atra,11,2,10,10,8,0
60,Gallinula tenebrosa,29,6,10,10,4,0
61,Geopelia cuneata,2,0,10,2,2,8
62,Gerygone mouki,33,7,10,10,3,0
63,Haliastur sphenurus,116,23,10,10,0,0
64,Irediparra gallinacea,24,5,10,10,5,0
65,Lalage leucomela,20,4,10,10,6,0
66,Litoria inermis,211,42,10,10,0,0
67,Manorina melanophrys,61,12,10,10,0,0
68,Megapodius reinwardt,10,2,10,10,8,0
69,Melithreptus brevirostris,21,4,10,10,6,0
70,Melithreptus gularis,98,20,10,10,0,0
71,Melithreptus lunatus,8,2,10,8,6,2
72,Microeca flavigaster,20,4,10,10,6,0
73,Neophema pulchella,5,1,10,5,4,5
74,Nesoptilotis leucotis,12,2,10,10,8,0
75,Pachycephala simplex,3,1,10,3,2,7
76,Pardalotus rubricatus,19,4,10,10,6,0
77,Parvipsitta pusilla,63,13,10,10,0,0
78,Pelecanus conspicillatus,5,1,10,5,4,5
79,Petrochelidon ariel,8,2,10,8,6,2
80,Petrochelidon nigricans,46,9,10,10,1,0
81,Petroica boodang,11,2,10,10,8,0
82,Petroica goodenovii,123,25,10,10,0,0
83,Petroica phoenicea,22,4,10,10,6,0
84,Petroica rosea,22,4,10,10,6,0
85,Pezoporus wallicus,32,6,10,10,4,0
86,Phaps elegans,22,4,10,10,6,0
87,Philemon citreogularis,168,34,10,10,0,0
88,Philemon corniculatus,109,22,10,10,0,0
89,Phylidonyris niger,540,108,10,10,0,0
90,Pitta iris,16,3,10,10,7,0
91,Pitta versicolor,25,5,10,10,5,0
92,Platycercus elegans,18,4,10,10,6,0
93,Plectorhyncha lanceolata,47,9,10,10,1,0
94,Psophodes cristatus,29,6,10,10,4,0
95,Ptilinopus regina,5,1,10,5,4,5
96,Pycnoptilus floccosus,8,2,10,8,6,2
97,Ramsayornis fasciatus,20,4,10,10,6,0
98,Ranoidea caerulea,11,2,10,10,8,0
99,Rattus Norvegicus,102,20,10,10,0,0
100,Rhinella marina,15,3,10,10,7,0
101,Rhipidura albiscapa,442,89,10,10,0,0
102,Rhipidura leucophrys,646,129,10,10,0,0
103,Rhipidura rufifrons,90,18,10,10,0,0
104,Rhipidura rufiventris,20,4,10,10,6,0
105,Scythrops novaehollandiae,7,1,10,7,6,3
106,Spilopelia chinensis,7,1,10,7,6,3
107,Stizoptera bichenovii,55,11,10,10,0,0
108,Stomiopera unicolor,61,12,10,10,0,0
109,Strepera versicolor,18,4,10,10,6,0
110,Sus Scrofa,40,8,10,10,2,0
111,Symposiachrus trivirgatus,14,3,10,10,7,0
112,Tregellasia capito,17,3,10,10,7,0
113,Trichosurus vulpecula,7,1,10,7,6,3
114,Uperoleia altissima,67,13,10,10,0,0
115,Uperoleia mimula,47,9,10,10,1,0
116,Vanellus miles,58,12,10,10,0,0
117,Vulpes vulpes,103,21,10,10,0,0
118,brant,135,27,10,10,0,0
119,jabwar,78,16,10,10,0,0
120,sheowl,128,26,10,10,0,0
121,spodov,107,21,10,10,0,0
122,wiltur,76,15,10,10,0,0
